exchangeNo,0
TX1,1296578100
RX1,26322380488
TX2,27633116724
RX2,2607325907
TX3,3918062132
RX3,28943842160
TOF,3.051758
DIST,0.91

FOR RX 0

maxNoise,3918
stdNoise,152
firstPathAmp1,17955
firstPathAmp2,18129
firstPathAmp3,14497
maxGrowthCIR,12759
rxPreamCount,276
firstPath,47844
LDE_THRESH,3918
LDE_CFG1,103
LDE_PPINDX,749
LDE_PPAMPL,18128
carrierInt,-73610
clockOffset,0.000069
CIRIQ
430,-89
351,-61
-276,39
-221,68
-360,52
-394,-58
-251,-214
66,-391
177,-81
686,-142
353,87
312,-188
228,-233
-90,-41
26,2
77,107
126,486
-30,445
69,119
-174,56
355,426
944,268
872,-78
-40,130
55,317
-111,325
416,98
573,12
27,303
-273,127
-283,467
216,74
-151,-280
-420,-36
125,-42
-82,52
273,412
37,-170
-328,-201
-326,147
-914,-34
-974,201
-401,203
113,-120
239,-31
89,337
-159,547
178,43
495,105
421,-195
-1,-101
44,-158
-256,-186
296,-114
505,-418
-20,-447
-169,-20
281,297
359,35
-158,271
50,355
-236,-307
-208,-264
152,147
-158,213
-226,172
-664,202
-130,-266
-162,-151
210,445
282,467
287,319
481,276
789,44
-130,250
313,-295
19,-447
486,-123
383,-500
-102,251
4,319
317,211
-89,-54
-232,-222
96,18
216,294
147,400
94,-18
172,-16
-116,30
-189,105
107,360
162,321
-29,1
-211,107
-11,237
14,113
170,59
139,-113
142,-344
229,-299
-224,108
-101,206
229,179
415,212
169,227
-333,194
-39,-158
250,10
451,6
218,-75
224,142
394,161
475,-2
464,-194
103,145
-95,470
-132,213
108,-29
59,-93
-70,-89
-223,-441
145,-178
502,-181
424,8
-392,-8
-539,402
99,62
-32,120
-130,189
-292,306
-300,132
-31,-38
207,205
193,194
128,77
-142,-48
162,-32
354,-136
-12,449
149,362
-357,56
-270,596
-91,27
-245,145
-803,27
-41,-201
50,-63
183,57
-63,82
-121,301
44,511
51,389
-45,471
-285,457
-59,258
-138,-133
-255,71
-264,225
149,223
528,143
429,-192
-64,118
385,-64
161,-312
-101,117
-96,383
166,214
478,417
429,206
113,-25
-157,-310
-10,-75
514,76
511,-101
114,150
77,6
-158,188
-576,445
-353,238
-102,36
-298,-9
-303,86
122,41
573,16
259,143
102,-73
-55,77
-364,-146
-304,-39
-96,90
-219,14
-129,150
-122,29
-283,216
439,-146
184,-167
-439,-232
-373,-233
142,-176
292,60
802,67
132,179
-525,355
67,267
525,530
524,147
83,169
312,-39
108,-410
-33,-174
-239,237
-408,-212
-387,-109
-211,-192
-34,-451
-26,-159
327,-59
-135,301
-12,-271
-184,-284
442,-83
354,-598
-149,192
5,24
295,77
276,-130
91,175
-158,-38
-266,-351
-269,-311
-49,-532
-367,-222
-347,-175
-180,-10
-49,262
187,275
-408,183
-538,625
336,155
453,313
128,179
320,64
-13,29
-213,194
-140,-86
8,-354
-123,-110
-397,136
-133,-8
-44,53
-439,701
27,436
-266,96
-267,241
114,140
-41,-326
-61,-120
313,54
-28,71
142,36
-421,-243
-443,-46
-165,272
-273,401
-159,-11
577,-264
598,-303
480,131
-66,-82
22,387
158,13
-421,333
-732,378
87,359
363,67
609,52
10,-7
-326,441
10,624
-27,462
-426,433
-424,262
178,-93
180,-230
316,231
312,205
322,110
707,265
728,116
498,-9
425,-68
506,131
110,18
9,281
72,8
-76,-17
-507,-161
52,-197
3,374
90,415
-134,-15
-248,368
-29,32
-572,-124
-329,175
-117,132
-126,5
127,194
542,273
518,-21
-324,515
-30,429
-34,54
406,-290
-25,183
27,46
-491,-319
-428,-13
-129,174
-38,6
-276,61
9,10
369,66
177,-295
166,51
182,243
